Date,Value,Anomaly
198507,70.0,1.2
198607,67.1,-1.7
198707,64.9,-3.9
198807,67.8,-1.0
198907,68.0,-0.8
199007,70.0,1.2
199107,65.7,-3.1
199207,70.1,1.3
199307,68.2,-0.6
199407,66.5,-2.3
199507,66.9,-1.9
199607,68.1,-0.7
199707,68.0,-0.8
199807,68.6,-0.2
199907,67.7,-1.1
200007,68.0,-0.8
200107,67.2,-1.6
200207,67.8,-1.0
200307,70.9,2.1
200407,68.7,-0.1
200507,68.0,-0.8
200607,74.0,5.2
200707,69.7,0.9
200807,69.6,0.8
200907,68.2,-0.6
201007,65.5,-3.3
201107,68.1,-0.7
201207,66.4,-2.4
201307,68.7,-0.1
201407,71.6,2.8
201507,70.1,1.3
201607,71.4,2.6
201707,71.0,2.2
201807,73.8,5.0
201907,68.7,-0.1
202007,67.7,-1.1
202107,68.8,0.0
202207,69.6,0.8
